,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
71,tam,arc,4,20,3.8490405345922554,0.001,513.9013307934641,0.001,0.0022340425531914895,0.008076923076923077
72,tam,pri,4,40,5.802477072590841,0.001,329.57010208244566,0.001,0.0022340425531914895,0.008076923076923077
73,tam,san,4,4,4.30785134385558,0.027,428.145756184209,0.032,0.034999999999999996,0.11454545454545453
74,tam,hai,4,3,4.556575411541678,0.023,106.49962836619062,0.026,0.030569620253164557,0.0975
75,tam,flk,4,19,4.654040775467471,0.001,519.9017528076997,0.001,0.0022340425531914895,0.008076923076923077
76,tam,are,4,3,3.872911545034045,0.026,98.82258623788094,0.035,0.034125,0.11454545454545453
77,liz,ala,6,2,1.6495135644047696,0.073,4.430797952634785,0.868,0.08331521739130435,0.8848543689320388
78,liz,arc,6,20,2.176006722217034,0.003,4.542801144406085,0.684,0.005526315789473685,0.7733870967741936
79,liz,pri,6,40,3.7760527575406444,0.001,5.044852706998888,0.486,0.0022340425531914895,0.6894078947368422
80,liz,san,6,4,2.1494706344174688,0.006,0.6505862360437293,0.521,0.00984375,0.6916875000000001
81,liz,hai,6,3,2.22430074140113,0.041,2.9896848547412818,0.111,0.049482758620689654,0.24281250000000001
82,liz,flk,6,19,2.711888651619433,0.001,2.4124612438079187,0.557,0.0022340425531914895,0.7132317073170732
83,liz,are,6,3,1.8276463075651712,0.04,1.7723845879108087,0.455,0.04883720930232558,0.6894078947368422
84,ala,arc,2,20,1.1103450642270802,0.081,228.01550160302372,0.258,0.09047872340425532,0.5016666666666667
85,ala,pri,2,40,1.1906585466212314,0.006,140.53084110587832,0.428,0.00984375,0.6894078947368422
86,ala,san,2,4,1.118500891519379,0.055,679.0984242769003,0.133,0.0648876404494382,0.28500000000000003
87,ala,hai,2,3,1.2855151585550006,0.109,634.1953253416567,0.103,0.11560606060606061,0.23457446808510637
88,ala,flk,2,19,1.1167710455766344,0.01,230.8146100763182,0.363,0.015217391304347827,0.6282786885245901
89,ala,are,2,3,1.1061738334858184,0.105,55.09417493299724,0.506,0.11365979381443297,0.6900000000000001
90,arc,pri,20,40,2.1357499941528886,0.001,2.1449598554428295,0.333,0.0022340425531914895,0.6244736842105264
91,arc,san,20,4,1.1687896583354596,0.022,86.06060166995842,0.169,0.03,0.34794117647058825
92,arc,hai,20,3,1.4468606896726766,0.009,187.12282103270408,0.001,0.014104477611940298,0.008076923076923077
93,arc,flk,20,19,1.2716170201732575,0.01,4.5939906293809205,0.058,0.015217391304347827,0.16459459459459458
94,arc,are,20,3,1.0220424058033892,0.301,126.64732359483212,0.148,0.302,0.3108
95,pri,san,40,4,1.0843565659903553,0.044,47.31349872732573,0.681,0.0525,0.7733870967741936
96,pri,hai,40,3,1.4209805871572185,0.003,111.5538325886055,0.002,0.005526315789473685,0.012352941176470587
97,pri,flk,40,19,1.584827767068244,0.001,0.3876111783151976,0.853,0.0022340425531914895,0.8801470588235294
98,pri,are,40,3,1.1486084096168205,0.019,76.53179286665191,0.66,0.0266,0.7733870967741936
99,san,hai,4,3,1.2752827218209566,0.023,272.699605252692,0.022,0.030569620253164557,0.08884615384615384
100,san,flk,4,19,1.07258926359437,0.015,72.93722856089224,0.404,0.021875,0.6733333333333335
101,san,are,4,3,1.0252124094725992,0.171,26.003232543878326,0.729,0.1777722772277228,0.8143085106382978
102,hai,flk,3,19,1.3569455958251717,0.001,180.82881781513834,0.002,0.0022340425531914895,0.012352941176470587
103,hai,are,3,3,1.293496259921202,0.086,8.188839274057798,0.054,0.09505263157894736,0.1575
104,flk,are,19,3,1.0425620816646695,0.108,117.08531657295056,0.44,0.11560606060606061,0.6894078947368422
